"SSS","SST","pH","spCO2_uatm","OmAr","Year","Site","Scenario"
35.5962279637655,24.602143128713,7.91222802797953,585.604326637883,2.69197495418946,2077,"Flower_Banks","SSP2_4.5"
35.594048500061,24.6030656496684,7.91112287839254,587.983410238321,2.68917085814931,2078,"Flower_Banks","SSP2_4.5"
35.5823761622111,24.6349639892578,7.90948438644409,590.462581959388,2.68266498642086,2079,"Flower_Banks","SSP2_4.5"
35.5913858413696,24.6572030385335,7.90839596589406,592.766948358689,2.68222150437637,2080,"Flower_Banks","SSP2_4.5"
35.5877555211385,24.6678609848022,7.90692663192749,594.657534550305,2.67346179154962,2081,"Flower_Banks","SSP2_4.5"
35.5923643112183,24.6932171185811,7.90623001257579,595.453779480474,2.67108888699374,2082,"Flower_Banks","SSP2_4.5"
35.5913263956706,24.7017045021057,7.90498916308085,597.366007720656,2.66514825825019,2083,"Flower_Banks","SSP2_4.5"
35.5912456512451,24.7286715507507,7.90401220321655,599.257080287435,2.66412258552535,2084,"Flower_Banks","SSP2_4.5"
35.5852114359538,24.7431666056315,7.90341313680013,600.017629187447,2.66122733160046,2085,"Flower_Banks","SSP2_4.5"
35.5871979395548,24.7295761108398,7.90237669150035,601.533157525743,2.65406390950319,2086,"Flower_Banks","SSP2_4.5"
35.5847597122192,24.7693829536438,7.9019288221995,602.74104643321,2.65753974442822,2087,"Flower_Banks","SSP2_4.5"
35.5938002268473,24.7763319015503,7.90116628011068,603.752710492099,2.65375974501967,2088,"Flower_Banks","SSP2_4.5"
35.5904591878255,24.7915802001953,7.90038088957469,604.952283357421,2.6507021023579,2089,"Flower_Banks","SSP2_4.5"
35.58802318573,24.8040041923523,7.8995068470637,606.853716004499,2.64940007520363,2090,"Flower_Banks","SSP2_4.5"
35.5849548975627,24.8030432065328,7.89850374062856,607.250123444008,2.63867441456584,2091,"Flower_Banks","SSP2_4.5"
35.5904060999552,24.8257586161296,7.89844787120819,607.96155176025,2.64347544055175,2092,"Flower_Banks","SSP2_4.5"
35.5927572250366,24.8397081693013,7.89816848436991,608.607354568008,2.64430078243455,2093,"Flower_Banks","SSP2_4.5"
35.5909420649211,24.8413699467977,7.89753329753876,609.590799403692,2.64090553582331,2094,"Flower_Banks","SSP2_4.5"
35.5897315343221,24.8642512957255,7.89710279305776,610.764311529814,2.64283222389281,2095,"Flower_Banks","SSP2_4.5"
35.5955053965251,24.8677543004354,7.89675486087799,610.86089966351,2.6396239846167,2096,"Flower_Banks","SSP2_4.5"
35.5954319636027,24.8404324849447,7.89673193295797,610.835929288858,2.63668025604319,2097,"Flower_Banks","SSP2_4.5"
35.5891965230306,24.8567566871643,7.89627468585968,611.760081015523,2.63633923175592,2098,"Flower_Banks","SSP2_4.5"
35.5859848658244,24.8672607739766,7.89606265227,612.340029433417,2.63708977503899,2099,"Flower_Banks","SSP2_4.5"
35.5761648813883,24.8555761973063,7.89612440268199,612.434392325678,2.63668124538702,2100,"Flower_Banks","SSP2_4.5"
36.3076244990031,28.2425263722738,8.03926841417948,414.339263938169,3.94124455975599,2015,"Puerto_Rico","SSP2_4.5"
36.2955338160197,28.252187093099,8.03717883427938,416.917608260107,3.92835231411079,2016,"Puerto_Rico","SSP2_4.5"
36.2951033910116,28.2370986938477,8.03633491198222,419.216723101477,3.93253796630961,2017,"Puerto_Rico","SSP2_4.5"
36.2853746414185,28.2774464289347,8.03324691454569,422.074045769577,3.90844450357534,2018,"Puerto_Rico","SSP2_4.5"
36.2911602656047,28.3029494285583,8.0303418636322,425.626860857001,3.8929031543894,2019,"Puerto_Rico","SSP2_4.5"
36.3114808400472,28.2606830596924,8.02883044878642,427.539254407301,3.87871723185925,2020,"Puerto_Rico","SSP2_4.5"
36.3303852081299,28.3829744656881,8.0268980662028,430.79833463279,3.89191423750814,2021,"Puerto_Rico","SSP2_4.5"
36.3263063430786,28.4432779947917,8.02399905522664,433.9134450032,3.87617966101612,2022,"Puerto_Rico","SSP2_4.5"
36.3509763081869,28.3512587547302,8.02133735020955,437.499908893263,3.84947633089816,2023,"Puerto_Rico","SSP2_4.5"
36.3663400014242,28.4672544797262,8.01833025614421,440.817760886691,3.84225902871153,2024,"Puerto_Rico","SSP2_4.5"
36.3532886505127,28.5030692418416,8.01705066363017,442.351027576759,3.83706066335094,2025,"Puerto_Rico","SSP2_4.5"
36.3686532974243,28.5925558408101,8.01512972513835,445.207412466191,3.84112107634684,2026,"Puerto_Rico","SSP2_4.5"
36.3890059789022,28.5516481399536,8.01247461636861,448.866581307858,3.82131211227103,2027,"Puerto_Rico","SSP2_4.5"
36.366740544637,28.5752259890238,8.01029709974925,451.869212148979,3.81029991925349,2028,"Puerto_Rico","SSP2_4.5"
36.3668568929036,28.6151266098022,8.00733244419098,455.285527831559,3.79248305582561,2029,"Puerto_Rico","SSP2_4.5"
36.381282488505,28.5598251024882,8.00480377674103,458.3693799304,3.76739080723282,2030,"Puerto_Rico","SSP2_4.5"
36.3941580454508,28.6480682690938,8.00317847728729,460.787424318531,3.77175503311324,2031,"Puerto_Rico","SSP2_4.5"
36.4053519566854,28.6864425341288,8.00103298823039,464.341428317992,3.76936625657488,2032,"Puerto_Rico","SSP2_4.5"
